JOBCODE,SERVDATE,MCCODE,SERVCODE,ATDATE,PDATE,REMARK,WorkDone,jobstatus
1,16/03/2008,74,37,,01/03/2008,,,P
2,31/03/2008,74,37,,16/03/2008,,,P
8,28/03/2008,8,12,05/06/2008,28/03/2006, ,FINISH,F
7,28/03/2008,8,10,05/06/2008,28/03/2006, ,FINISH,F
6,28/03/2008,7,13,12/07/2008,28/03/2006, ,FINISH,F
5,28/03/2008,7,11,12/07/2008,28/03/2006, ,FINISH,F
4,28/03/2008,7,12,12/07/2008,28/03/2006, ,FINISH,F
3,28/03/2008,7,10,12/07/2008,28/03/2006, ,FINISH,F
9,11/04/2008,7,16,12/04/2008,11/04/2007, ,FINISH,F
10,11/04/2008,8,16,12/04/2008,11/04/2007, ,FINISH,F
11,13/04/2008,7,71,12/04/2008,29/03/2008, ,FINISH,F
12,15/04/2008,8,71,12/04/2008,31/03/2008, ,FINISH,F
13,15/04/2008,74,37,,31/03/2008,,,P
14,24/04/2008,7,71,24/04/2008,13/04/2008, ,FINISH,F
15,24/04/2008,8,71,25/04/2008,15/04/2008, ,FINISH,F
16,30/04/2008,74,37,,15/04/2008,,,P
20,28/03/2008,9,13,27/07/2008,28/03/2006, ,FINISH,F
19,28/03/2008,9,11,27/07/2008,28/03/2006, ,FINISH,F
18,28/03/2008,9,12,27/07/2008,28/03/2006, ,FINISH,F
17,28/03/2008,9,10,27/07/2008,28/03/2006, ,FINISH,F
21,02/04/2008,9,71,01/04/2008,21/03/2008, ,FINISH,F
22,06/04/2008,9,16,01/04/2008,06/04/2007, ,FINISH,F
671,21/06/2008,46,121,01/07/2008,21/06/2007, ,FINISH,F
668,21/06/2008,44,94,20/06/2008,21/05/2008, ,FINISH,F
672,22/06/2008,41,118,05/06/2008,22/10/2007, ,FINISH,F
673,22/06/2008,41,117,21/06/2008,22/10/2007, ,FINISH,F
675,23/06/2008,41,94,21/06/2008,23/05/2008, ,FINISH,F
679,25/06/2008,44,122,20/06/2008,25/06/2007, ,FINISH,F
680,25/06/2008,44,121,16/10/2008,25/06/2007, ,FINISH,F
682,26/06/2008,48,122,08/08/2008,26/06/2007, ,FINISH,F
681,26/06/2008,48,121,13/10/2008,26/06/2007, ,FINISH,F
684,26/06/2008,50,94,13/06/2008,26/05/2008, ,FINISH,F
685,27/06/2008,51,94,24/06/2008,27/05/2008, ,FINISH,F
686,28/06/2008,47,116,18/06/2008,28/06/2007, ,FINISH,F
687,28/06/2008,47,122,09/07/2008,28/06/2007, ,FINISH,F
688,28/06/2008,49,94,27/06/2008,28/05/2008, ,FINISH,F
691,30/06/2008,46,94,01/07/2008,30/05/2008, ,FINISH,F
667,22/06/2008,43,111,23/06/2008,01/06/2008, ,FINISH,F
674,23/06/2008,44,111,20/06/2008,02/06/2008, ,FINISH,F
676,24/06/2008,51,111,24/06/2008,03/06/2008, ,FINISH,F
677,25/06/2008,42,111,25/06/2008,04/06/2008, ,FINISH,F
678,02/07/2008,40,111,26/06/2008,05/06/2008, ,FINISH,F
